,AGE,SEX,FTPT,GOVTOF2,SC20MMJ,TTUSHR,GRSSWK,DISEA,ETHUKEUL,HIQUL22D
1097,45,2,1,10,2,30,769,2,1,1
1101,42,2,1,10,6,42,480,2,3,1
1106,56,2,2,10,3,22,558,1,1,2
1119,58,1,1,10,8,45,558,2,1,5
1120,63,2,2,10,9,25,173,2,1,5
1121,55,2,1,10,4,41,606,2,1,4
1143,55,1,1,10,2,43,635,1,1,1
1144,54,2,1,10,4,42,462,2,1,4
1146,62,2,1,10,6,30,300,2,1,4
1163,70,2,2,10,9,6,51,2,1,3
1165,40,1,1,10,1,37,846,2,1,3
1166,35,2,1,10,8,47,692,2,1,1
1167,57,1,1,10,3,35,419,2,1,1
1168,52,2,2,10,3,21,250,2,1,3
1169,17,2,2,10,4,4,173,2,1,4
1193,25,2,2,10,6,22,209,1,1,3
1194,65,2,2,10,6,14,166,2,1,1
1196,33,1,1,10,5,42,813,2,1,3
1197,34,2,1,10,2,38,885,2,1,1
1207,35,2,2,10,6,25,288,2,8,5
1209,62,2,2,10,7,15,162,2,1,4
1246,35,2,2,10,4,15,134,2,1,4
1252,27,1,1,10,3,39,500,2,1,3
1264,64,1,2,10,4,20,185,1,1,4
1265,55,2,1,10,4,38,462,2,1,4
1266,21,2,1,10,9,40,490,2,1,3
1272,56,1,1,10,2,38,981,2,1,1
1295,44,2,1,10,2,35,808,2,1,1
1300,31,2,2,10,1,32,615,2,1,1
1331,37,1,2,10,2,30,1635,2,7,1
1332,41,1,1,10,1,40,673,2,1,3
1339,27,2,1,10,2,55,461,2,1,1
1341,61,2,2,10,2,6,231,2,1,2
1357,42,2,1,10,3,50,1115,1,1,1
1360,35,2,2,10,3,24,404,2,1,1
1361,36,1,1,10,3,36,962,2,1,1
1367,80,1,2,10,7,16,183,1,1,6
1400,44,2,2,10,9,20,231,2,1,4
1418,56,2,1,10,2,20,231,2,1,1
1419,58,1,1,10,1,60,231,2,1,1
1430,63,2,1,10,7,42,475,2,1,6
1437,49,1,1,10,8,45,400,2,1,4
1456,45,2,2,10,6,25,250,1,1,3
1457,51,1,1,10,5,39,712,2,1,3
1458,22,2,1,10,6,38,288,2,1,4
1460,56,1,1,10,8,40,721,2,1,4
1465,45,1,1,10,9,38,288,2,1,4
1470,33,1,1,10,1,40,1154,2,1,1
1471,33,2,1,10,2,45,1096,2,1,1
1483,38,2,1,10,2,40,481,2,1,1
1485,40,2,2,10,9,29,346,2,1,4
1504,39,1,1,10,2,40,923,1,1,1
1505,31,2,1,10,5,38,529,2,1,1
1506,35,1,2,10,9,20,169,2,9,4
1550,62,2,1,10,6,47,547,2,1,4
1561,43,1,2,10,6,24,196,2,1,6
