,AGE,SEX,FTPT,GOVTOF2,SC20MMJ,TTUSHR,GRSSWK,DISEA,ETHUKEUL,HIQUL22D
13618,50,2,1,7,6,60,462,2,1,1
13621,44,2,1,7,1,35,808,2,1,1
13634,63,2,2,7,4,24,332,1,1,5
13635,54,1,1,7,2,38,923,2,1,1
13636,49,2,1,7,2,38,923,2,1,1
13637,16,2,2,7,7,12,80,2,1,4
13655,33,1,1,7,3,40,923,2,1,4
13656,27,2,1,7,3,40,808,2,1,1
13659,28,2,1,7,2,40,531,2,1,4
13660,30,1,1,7,7,40,404,2,1,3
13661,55,2,2,7,4,26,315,2,1,3
13675,54,2,1,7,2,40,1192,2,1,1
13688,38,1,1,7,5,45,450,2,1,6
13689,36,2,2,7,6,17,182,2,1,3
13705,54,1,1,7,8,38,1200,2,1,5
13709,29,2,2,7,3,28,264,2,1,3
13732,18,1,1,7,5,40,577,1,1,3
13734,45,2,1,7,6,37,423,2,1,3
13735,47,1,1,7,5,60,769,2,1,4
13742,44,2,1,7,1,26,615,2,1,1
13752,48,1,1,7,2,40,1154,2,1,4
13759,32,1,1,7,3,40,1462,2,1,1
13760,37,1,1,7,2,38,404,2,4,1
13781,59,2,1,7,1,34,212,2,8,1
13783,23,2,1,7,6,48,462,2,8,1
13815,67,1,1,7,1,30,308,2,1,6
13831,30,2,1,7,2,48,909,2,1,1
13832,37,1,1,7,2,44,548,2,1,2
13834,25,1,1,7,3,45,404,2,1,3
13835,45,2,1,7,8,45,481,2,1,1
13848,26,1,1,7,3,40,1500,2,1,3
13849,25,2,1,7,2,40,962,2,1,3
13864,58,1,1,7,6,38,692,1,1,3
13865,59,2,1,7,1,32,788,1,1,3
13872,52,1,1,7,2,55,923,2,1,1
13873,46,2,2,7,2,33,577,1,1,1
13875,42,2,1,7,3,42,865,2,1,4
13894,34,1,1,7,1,40,1827,1,1,4
13895,33,1,1,7,4,40,438,2,1,4
13917,38,2,1,7,2,37,1038,2,1,1
13918,38,1,1,7,2,45,1038,2,1,1
13925,57,2,1,7,3,40,484,2,1,4
13926,54,1,1,7,4,70,584,2,1,4
13928,55,1,1,7,1,48,471,1,1,3
13929,62,2,1,7,4,30,808,2,1,4
13930,52,1,1,7,5,36,654,1,1,4
13942,55,2,1,7,3,36,615,1,1,4
13944,24,1,1,7,3,36,615,2,1,3
13945,56,1,1,7,4,36,654,2,1,3
13946,48,2,2,7,6,8,58,1,1,3
13951,26,2,1,7,2,37,1154,2,1,1
13952,26,1,1,7,3,44,1077,2,1,1
13962,48,2,2,7,4,28,538,2,1,3
13976,37,2,2,7,3,30,288,2,1,4
13977,39,1,1,7,8,42,673,2,1,4
13997,54,1,1,7,6,37,462,2,8,5
13998,50,2,1,7,5,37,392,1,8,5
13999,19,1,1,7,9,42,358,2,8,4
14010,66,2,1,7,1,45,885,2,1,3
14015,54,2,1,7,6,30,276,2,7,5
14016,23,1,1,7,2,40,490,2,2,1
14017,75,1,2,7,9,24,385,1,1,1
14026,50,2,1,7,1,50,923,2,1,3
14027,51,1,1,7,5,48,692,2,1,4
14028,25,1,1,7,3,46,654,2,1,3
14036,40,2,2,7,6,15,180,1,1,3
14037,20,2,2,7,7,24,274,1,1,3
14054,59,2,1,7,2,37,673,2,1,4
14058,24,2,1,7,2,38,471,2,1,3
14063,52,1,1,7,8,40,550,2,1,4
14106,26,1,1,7,3,38,538,2,1,3
14110,39,1,1,7,7,38,606,2,1,1
14123,38,2,1,7,2,32,531,2,1,1
14124,40,1,1,7,2,37,600,1,1,1
14139,18,1,1,7,7,40,531,2,1,4
14166,16,1,2,7,9,9,90,2,1,4
14167,58,1,1,7,3,45,2146,2,1,1
14196,50,2,2,7,3,27,654,1,1,2
14197,49,1,1,7,2,40,1769,1,1,1
14235,44,2,2,7,6,23,225,2,1,1
14241,60,1,1,7,2,38,788,2,1,1
14242,54,2,2,7,2,18,485,2,1,1
14261,38,2,2,7,7,32,548,2,1,1
14262,39,1,1,7,3,38,1212,2,1,4
14268,21,1,1,7,2,40,720,2,1,3
14274,25,1,1,7,3,50,623,2,1,1
14287,61,1,2,7,2,4,96,2,1,1
14288,38,2,2,7,5,16,327,2,1,1
14289,38,1,1,7,1,40,1904,2,1,1
14292,62,2,2,7,1,35,923,1,1,2
14327,43,1,1,7,1,35,2019,2,1,4
14342,34,1,1,7,5,50,942,2,1,3
14343,57,1,1,7,3,40,775,2,1,4
14344,63,1,2,7,9,15,154,1,1,1
14346,32,2,2,7,7,22,317,2,1,3
14347,33,1,1,7,1,40,808,2,1,3
14350,59,2,2,7,2,27,577,2,1,1
14354,54,2,1,7,4,48,1077,2,8,1
14355,54,1,1,7,2,48,1538,2,8,1
14360,28,2,1,7,3,40,1058,1,1,3
14365,64,1,1,7,5,38,423,2,1,3
14368,72,2,1,7,6,48,24,2,1,4
14400,31,2,1,7,3,50,962,2,1,2
14405,66,1,1,7,2,38,1385,2,1,3
14423,62,1,1,7,1,40,1904,2,1,1
14426,52,1,1,7,1,65,1904,1,1,1
14429,62,2,2,7,2,30,385,2,1,4
14430,68,1,2,7,5,25,615,1,1,1
14431,30,1,1,7,5,40,615,2,1,3
14446,28,2,1,7,3,44,577,1,1,1
14447,31,1,1,7,2,48,769,2,1,3
14465,48,1,1,7,3,45,4615,2,1,4
14466,46,2,2,7,2,19,288,1,1,1
14485,49,1,1,7,2,45,1442,1,3,1
14486,47,2,2,7,2,16,769,1,3,1
14488,43,2,2,7,2,30,808,2,1,1
14489,53,1,1,7,5,48,731,2,1,3
14500,25,2,1,7,7,40,254,1,1,4
14503,47,2,1,7,3,40,1317,1,1,1
14504,48,1,1,7,2,44,1394,2,1,1
14507,55,1,1,7,1,40,385,2,1,4
14521,54,2,1,7,4,48,1426,1,1,1
14526,38,1,1,7,1,40,1154,2,1,1
14558,66,1,2,7,2,24,346,2,1,3
14565,60,1,1,7,2,38,1231,2,8,5
14566,63,2,1,7,2,36,750,2,8,2
14567,38,2,1,7,3,36,761,2,1,3
14582,46,1,1,7,3,60,1692,2,1,1
14583,46,2,2,7,2,24,625,1,1,1
14590,40,2,1,7,4,38,1250,2,1,1
14599,37,2,1,7,2,38,538,2,8,1
14613,48,1,1,7,1,38,827,2,7,5
14622,26,2,2,7,9,6,55,1,1,4
14636,73,2,1,7,2,55,1442,2,1,1
14638,44,2,2,7,7,28,427,2,1,3
14639,41,1,1,7,2,46,692,2,1,5
14648,40,2,2,7,2,19,481,2,1,1
14666,37,1,1,7,3,35,471,2,1,1
14673,42,2,1,7,2,38,904,1,1,1
14674,49,1,1,7,2,40,913,2,9,3
14675,43,1,1,7,3,35,629,1,2,3
14688,35,1,1,7,2,42,1615,2,1,1
14693,52,1,1,7,5,40,854,2,1,4
14695,58,2,1,7,1,60,231,1,1,1
14698,32,1,1,7,2,40,1188,2,1,1
14713,55,1,1,7,2,38,788,1,1,1
14714,22,2,1,7,1,38,538,2,1,1
14715,30,2,1,7,2,35,962,2,8,3
14722,28,1,1,7,2,35,1173,2,1,1
14734,53,2,2,7,4,24,346,2,1,4
14747,24,2,1,7,7,35,323,2,1,3
14748,38,1,1,7,4,35,3413,2,3,1
14749,35,2,1,7,1,35,1846,2,3,1
14754,64,1,1,7,1,43,673,2,1,4
14776,64,1,1,7,4,40,1096,2,1,2
14777,60,2,2,7,2,32,481,2,1,1
14778,41,1,1,7,2,45,923,2,1,1
14779,34,2,1,7,2,40,712,2,7,1
14783,52,2,1,7,2,38,1385,2,1,1
14784,54,1,1,7,1,48,1596,2,1,1
14808,47,2,1,7,3,39,462,2,1,3
14809,46,1,1,7,2,50,994,2,9,1
14812,65,2,2,7,6,22,258,2,1,4
14836,66,2,2,7,4,30,368,1,1,6
14870,26,1,2,7,7,19,187,2,3,1
14875,56,1,1,7,9,38,453,2,1,3
14889,34,1,1,7,2,35,1923,2,9,1
14890,54,1,1,7,2,53,1923,2,1,1
14891,48,2,2,7,2,16,385,2,1,1
14893,48,1,1,7,3,45,1154,2,1,3
14894,47,2,1,7,2,55,769,2,1,1
14905,48,2,1,7,8,44,1100,2,1,2
14916,44,1,1,7,5,40,673,1,1,4
14934,26,2,1,7,5,50,600,2,1,1
14939,29,2,1,7,3,35,1154,2,1,4
14940,30,1,1,7,1,50,1923,2,1,4
14943,40,2,1,7,3,50,2173,2,1,3
14957,53,2,1,7,4,40,846,2,1,3
14981,44,1,1,7,3,38,1154,2,1,1
15021,26,2,1,7,3,38,769,2,1,1
15033,36,1,1,7,3,50,1731,2,1,1
15035,61,2,1,7,3,32,327,2,1,3
15036,53,1,1,7,2,48,1019,2,2,3
15041,52,2,2,7,9,22,228,2,8,4
15057,39,2,1,7,2,36,1154,2,1,1
15072,45,2,1,7,6,40,808,2,1,5
15092,61,2,2,7,2,15,215,2,1,2
15094,47,2,2,7,3,30,577,2,1,1
15100,40,2,1,7,1,40,973,2,1,1
15118,38,1,1,7,2,50,2262,2,1,1
15134,52,2,2,7,4,22,269,2,5,3
15135,61,1,1,7,4,37,577,2,5,1
15136,20,2,2,7,7,16,160,2,5,3
15139,43,2,1,7,6,35,519,2,1,1
15147,64,1,1,7,3,40,1311,2,1,5
15148,67,2,1,7,4,38,877,2,1,3
15155,33,1,1,7,1,40,1923,2,1,1
15156,34,2,1,7,2,37,1192,2,1,1
15174,63,2,2,7,7,13,138,2,1,2
15181,57,1,1,7,6,36,750,2,1,4
15182,52,2,1,7,4,37,462,2,1,3
15183,63,1,1,7,3,50,2885,2,3,1
15184,57,2,1,7,6,37,462,2,1,1
15185,19,1,2,7,7,7,60,2,2,3
15188,56,2,2,7,7,30,308,2,1,4
15211,31,2,1,7,1,52,788,2,8,1
15212,35,1,1,7,7,40,519,2,8,1
15216,25,2,2,7,8,20,312,1,1,3
15231,64,2,1,7,1,38,769,2,1,7
15232,43,1,1,7,4,38,1154,2,3,1
15237,46,1,1,7,3,38,692,2,1,2
15242,64,2,1,7,4,40,462,2,1,4
15243,57,2,1,7,3,40,935,1,1,4
15244,47,2,1,7,2,25,577,2,1,1
15245,37,1,1,7,8,47,485,2,1,1
15246,36,2,2,7,4,28,242,2,1,1
15259,57,2,1,7,6,31,327,2,1,3
15291,36,2,1,7,6,40,300,2,8,1
15292,38,1,2,7,2,30,600,2,8,1
15299,42,1,2,7,9,16,137,2,9,7
15302,34,1,1,7,3,38,712,2,8,3
15326,42,1,1,7,3,38,415,2,1,4
15336,45,2,2,7,9,10,163,2,1,1
15337,36,1,1,7,2,38,1154,2,1,1
15340,71,1,1,7,2,38,646,2,1,4
15341,37,2,1,7,4,38,481,2,1,5
15342,59,2,1,7,6,52,647,2,8,3
15343,42,1,1,7,2,35,1442,2,1,1
15344,40,2,1,7,1,48,1346,2,1,1
15346,46,1,1,7,1,55,577,2,1,3
15385,48,2,1,7,3,45,462,2,3,1
15388,56,2,2,7,6,16,173,2,1,3
15404,65,2,1,7,4,38,577,2,1,4
15417,36,2,1,7,2,38,762,2,8,1
15434,50,2,2,7,2,30,750,2,1,1
15436,49,2,2,7,2,24,673,2,1,1
15437,48,1,1,7,1,40,1731,2,1,1
15459,55,2,1,7,8,42,760,2,1,4
15460,57,1,1,7,5,39,759,1,1,4
15461,39,2,2,7,9,15,194,2,7,1
15492,33,1,1,7,2,38,865,2,8,1
15533,41,2,1,9,2,34,1000,2,1,1
15562,51,2,1,9,2,42,1523,2,1,3
15563,45,1,1,9,1,40,2885,2,1,1
15566,44,2,1,9,2,37,384,2,1,1
15569,66,2,2,9,7,12,115,2,1,1
15583,73,2,2,9,9,5,7,1,1,1
15587,48,1,1,9,8,36,600,2,1,5
15590,67,2,1,9,2,32,1131,2,1,2
15591,32,2,1,9,7,30,323,1,1,1
15593,65,1,2,9,2,20,381,2,1,1
15594,54,1,1,9,1,45,577,2,1,3
15595,55,2,2,9,3,21,208,2,1,2
15598,58,1,2,9,2,38,854,2,1,1
15600,16,2,2,9,9,5,23,2,7,4
15603,37,1,1,9,3,52,865,2,1,1
15616,32,1,1,9,2,45,900,2,1,3
15617,31,2,1,9,3,38,865,2,1,1
15620,45,2,2,9,6,22,277,1,8,1
15621,45,1,1,9,3,35,485,2,8,1
15623,54,2,1,9,3,35,1115,2,1,3
15687,41,1,1,9,2,35,1615,2,9,3
15688,46,2,1,9,3,38,692,2,9,1
15703,34,1,1,9,8,40,457,2,1,2
15728,35,1,1,9,5,44,1538,2,1,1
15732,35,1,1,9,2,38,769,2,1,1
15733,34,2,1,9,2,40,771,2,1,1
15734,30,2,1,9,7,35,577,2,1,2
15735,48,1,1,9,2,38,846,2,1,4
15736,33,2,1,9,1,40,2400,2,1,1
15737,32,1,1,9,2,40,1246,2,1,1
15741,34,2,1,9,2,43,1538,2,1,1
15742,23,2,2,9,7,16,46,2,1,3
15743,54,2,1,9,4,40,500,1,1,1
15746,57,1,1,9,2,35,808,1,1,1
15748,52,1,1,9,5,60,231,2,1,1
15749,23,2,1,9,2,50,663,2,1,1
15761,58,2,2,9,4,22,250,2,1,2
15774,36,1,1,9,1,55,2202,2,1,1
15775,31,1,1,9,1,36,962,1,1,1
15776,31,2,1,9,2,42,962,1,1,1
15777,46,1,1,9,8,38,860,2,4,4
15781,56,1,2,9,6,22,152,1,4,5
15783,18,2,2,9,7,6,25,2,4,4
15787,35,2,1,9,3,41,627,2,1,4
15788,38,1,1,9,2,40,1538,2,1,4
15804,57,1,1,9,5,40,596,2,1,4
15825,63,2,2,9,6,22,308,2,6,5
15829,29,2,1,9,3,50,481,2,1,1
15830,30,1,1,9,3,65,942,2,1,3
15831,30,2,1,9,2,37,692,2,1,1
15837,67,1,2,9,3,16,1308,2,1,1
15838,60,2,2,9,2,18,365,2,1,1
15858,28,2,1,9,2,35,1188,1,1,1
15859,27,1,1,9,5,45,1038,2,1,3
15860,49,2,1,9,4,38,577,2,1,2
15861,49,1,1,9,5,45,485,2,1,4
15862,16,2,2,9,9,12,105,2,1,4
15865,63,1,2,9,1,20,1000,2,1,5
15891,48,2,2,9,4,20,269,2,1,3
15896,29,1,1,9,3,40,1538,1,1,3
15937,45,2,1,9,4,45,920,2,1,1
15944,33,1,1,9,2,42,931,2,1,3
15945,40,1,1,9,8,45,577,1,1,2
15949,26,2,1,9,3,40,231,1,1,2
15950,30,1,2,9,9,30,300,1,1,1
15967,58,2,1,9,3,37,831,2,1,1
15982,55,1,1,9,2,40,1827,2,1,3
15993,50,2,2,9,9,16,192,2,1,6
15995,60,1,1,9,2,40,1923,2,1,2
15996,52,2,1,9,4,45,587,2,1,4
15997,24,2,1,9,2,35,702,2,1,3
15998,32,1,1,9,2,37,981,2,1,1
15999,31,1,1,9,3,50,1500,2,1,1
16006,34,1,1,9,3,40,800,2,8,1
16015,35,1,1,9,2,38,625,2,1,2
16022,37,2,1,9,2,38,750,2,3,1
16025,51,1,1,9,1,48,2308,1,1,2
16026,51,2,1,9,6,26,328,1,1,3
16032,59,2,2,9,2,24,600,2,1,1
16044,63,1,1,9,5,40,538,1,1,5
16045,46,2,1,9,3,40,1413,2,1,1
16047,37,2,1,9,2,42,1192,1,1,1
16048,35,1,1,9,8,38,769,2,1,3
16049,38,2,2,9,2,29,673,2,1,1
16050,38,1,1,9,1,40,1385,2,1,1
16061,56,2,1,9,1,40,673,2,1,4
16062,39,2,1,9,3,38,769,2,1,1
16065,53,2,1,9,1,35,1096,2,1,1
16077,38,1,1,9,2,40,1923,2,1,2
16078,37,2,2,9,4,20,269,2,1,1
16082,51,1,1,9,8,40,731,2,1,4
16083,53,2,1,9,6,50,750,1,7,3
16091,40,1,1,9,2,38,1865,2,3,1
16095,49,2,2,9,4,20,277,1,1,3
16096,49,1,1,9,2,45,3000,2,1,1
16102,32,2,1,9,7,40,577,1,1,4
16109,63,2,2,9,9,5,51,2,1,4
16162,45,2,1,9,2,44,1385,2,1,3
16163,42,2,1,9,2,45,1731,1,1,1
16164,39,1,1,9,2,45,2308,1,1,1
16196,41,2,1,9,2,37,1731,2,2,1
16197,38,1,1,9,2,37,1154,2,2,1
16215,47,2,1,9,2,40,1615,2,1,1
16216,49,1,1,9,1,60,1827,2,2,3
16222,32,2,1,9,2,42,615,2,1,1
16223,33,1,1,9,2,38,2308,2,1,3
16227,43,1,1,9,3,54,1500,2,1,3
16228,52,2,1,9,4,40,750,2,1,4
16234,42,1,1,9,3,45,671,2,1,3
16235,39,2,1,9,4,38,525,1,1,2
16265,45,2,2,9,2,30,846,2,8,1
16266,45,1,1,9,3,42,1923,2,1,1
16287,40,2,1,9,2,45,904,2,1,2
16301,34,1,1,9,9,40,475,2,9,4
16305,45,2,1,9,4,35,615,2,1,3
16319,67,1,2,9,8,18,329,2,1,4
16350,38,1,2,9,7,18,171,1,1,4
16360,36,2,1,9,2,42,1154,1,1,1
16361,24,2,1,9,2,35,442,1,1,1
16362,24,1,1,9,1,35,923,2,8,1
16363,32,2,1,9,7,37,485,1,1,1
16364,29,1,1,9,9,42,604,2,1,1
16376,56,1,2,9,4,20,240,2,1,4
16385,55,2,1,9,2,47,827,2,1,1
16386,55,1,1,9,2,50,1673,2,1,1
16423,25,2,1,9,2,38,990,2,1,1
16438,47,2,1,9,3,40,1000,2,1,1
16439,54,1,1,9,3,40,885,2,1,4
16446,62,1,1,9,2,34,769,2,1,3
16447,62,2,2,9,3,21,277,2,1,2
16448,43,2,1,9,1,35,1615,2,3,1
16449,57,1,1,9,9,38,481,1,1,3
16471,24,1,1,9,2,50,462,2,1,1
16472,22,1,1,9,7,40,404,2,1,3
16473,19,2,1,9,9,55,605,2,1,3
16477,24,2,1,9,3,38,558,1,1,1
16478,25,1,1,9,9,40,500,2,1,4
16480,47,2,1,9,9,38,288,2,7,1
16481,52,1,2,9,9,20,77,2,7,5
16483,63,2,2,9,3,25,399,2,2,1
16496,50,1,1,9,2,40,942,2,1,1
16520,50,2,1,9,2,38,785,2,8,1
16524,60,2,2,9,2,21,463,2,1,1
16526,20,2,2,9,9,20,250,2,1,3
16536,48,2,2,9,3,24,231,2,1,1
16556,57,1,1,10,1,40,1923,2,1,1
16566,63,1,1,10,5,55,923,2,1,3
16567,49,1,1,10,4,55,1923,2,1,1
16568,48,2,2,10,2,30,692,2,1,1
16573,21,1,1,10,9,45,473,2,1,2
16574,54,2,1,10,1,39,600,2,1,3
16575,51,1,1,10,2,35,600,2,1,5
16588,56,2,2,10,2,35,518,2,1,1
16592,23,2,2,10,6,10,115,2,1,1
16593,25,1,1,10,5,40,529,2,1,4
16594,21,2,1,10,2,38,546,1,1,1
16595,23,1,1,10,5,36,558,2,1,4
16609,43,1,1,10,3,36,692,2,1,1
16627,37,1,1,9,8,38,750,2,1,1
16628,30,2,1,9,2,38,1000,2,6,1
16629,50,2,1,9,2,50,750,1,4,1
16643,59,2,2,10,4,24,731,2,1,3
16647,36,1,1,10,5,60,846,2,1,3
16648,35,2,1,10,4,40,423,2,1,3
16666,54,2,1,10,4,38,808,1,1,4
16667,52,2,1,10,9,40,654,2,1,3
16668,32,2,1,10,2,40,692,2,3,1
16669,32,1,1,10,7,38,483,2,3,1
16674,24,1,1,9,4,36,640,2,1,3
16675,24,1,1,9,2,36,525,2,1,1
16676,58,1,1,9,2,40,1269,2,1,1
16677,59,2,1,9,6,30,346,2,1,5
16681,40,1,1,9,2,38,1058,2,1,1
16708,55,2,1,10,1,47,1173,2,1,5
16709,33,2,1,9,2,40,711,2,1,1
16711,63,2,1,9,2,70,6923,2,1,1
16722,45,1,1,9,3,50,1046,2,1,3
16723,48,2,1,9,4,40,785,2,1,2
16724,40,2,2,9,4,21,323,1,1,1
16725,39,1,1,9,2,44,1177,2,1,1
16743,54,2,1,10,1,50,1000,2,1,4
16744,33,1,1,10,8,38,587,1,1,4
16745,47,2,1,10,2,37,952,2,1,1
16746,50,1,1,10,1,40,827,2,1,4
16767,47,1,1,9,2,40,1192,2,1,1
16771,63,2,2,10,2,16,231,2,1,2
16776,30,2,1,10,3,46,702,2,1,1
16787,25,1,1,10,5,42,865,2,1,3
16789,40,2,2,10,2,22,731,2,1,1
16790,38,1,1,10,2,42,1538,2,1,1
16793,45,1,1,10,2,37,1692,1,1,1
16794,62,1,2,10,8,14,192,2,1,2
16822,31,1,1,10,2,44,814,2,1,1
16823,56,2,1,10,4,37,550,2,1,4
16824,56,2,1,9,9,36,381,2,1,1
16844,45,2,2,9,3,23,323,1,1,1
16845,42,1,1,9,3,37,808,2,1,4
16850,32,1,1,9,4,37,596,2,1,3
16858,64,1,1,10,2,48,1308,2,1,1
16875,33,2,1,10,3,42,596,2,1,3
16876,36,1,1,10,3,36,508,2,1,2
16877,44,1,1,10,1,48,731,2,1,3
16878,44,2,1,10,3,40,596,2,1,1
16880,52,1,1,10,1,40,1538,2,1,1
16881,52,2,1,10,2,36,385,2,1,1
16882,24,1,1,10,2,38,462,2,1,1
16892,45,2,1,10,2,41,747,2,1,1
16893,60,1,1,10,1,50,1562,1,1,3
16899,43,1,1,10,2,40,1923,2,2,1
16900,69,1,1,9,2,37,1000,2,1,1
16916,36,2,2,9,2,30,846,2,1,1
16917,38,1,1,9,1,42,212,2,1,1
16933,53,2,1,10,3,56,1373,1,1,1
16941,60,2,1,10,9,35,231,1,1,6
16950,34,2,1,10,3,38,531,2,1,2
16951,35,1,1,10,2,40,1449,2,1,1
16952,65,1,1,10,5,36,646,2,1,3
16953,29,2,1,10,3,40,810,2,3,1
16954,30,1,1,10,2,40,923,2,3,1
16977,30,2,1,10,4,37,413,1,1,4
16978,31,1,1,10,2,42,946,2,1,2
17006,63,1,1,10,4,37,615,1,1,3
17009,33,1,1,10,2,45,716,2,1,1
17010,31,2,1,10,6,35,538,1,1,4
17012,38,2,1,10,1,33,808,2,1,3
17015,36,2,1,10,2,40,1154,2,1,1
17019,35,2,1,10,3,37,538,2,1,4
17023,40,1,1,10,8,40,596,2,1,7
17036,39,2,1,10,2,41,865,2,1,1
17037,46,1,1,10,2,37,881,2,1,3
17047,51,1,1,10,2,70,3000,2,1,1
17048,45,2,2,10,9,4,29,2,1,1
17051,37,1,1,10,3,38,788,2,1,1
17055,34,1,1,10,2,40,2677,2,8,1
17056,33,2,1,10,2,50,962,2,8,1
17065,30,1,1,10,2,37,930,2,1,1
17066,28,2,1,10,2,39,942,2,1,1
17067,62,2,2,10,4,23,485,1,1,2
17068,62,1,1,10,8,38,1152,2,1,3
17069,27,2,1,10,2,40,750,1,1,1
17070,49,2,1,10,6,44,542,2,3,1
17084,28,1,1,10,5,40,865,2,1,3
17085,28,2,2,10,6,16,135,2,1,3
17088,50,1,1,10,2,63,1043,2,1,1
17091,60,1,1,10,2,46,577,1,1,1
17092,60,2,2,10,4,6,81,2,1,1
17094,36,1,1,10,2,48,923,2,1,1
17098,56,1,1,10,5,70,473,2,1,2
17109,43,2,1,10,3,37,712,2,1,4
17134,34,1,1,10,9,40,385,2,1,4
17155,35,2,1,10,2,39,327,1,1,1
17160,43,2,1,10,1,30,1538,2,1,4
17161,43,1,1,10,2,37,700,2,8,3
17165,47,2,2,10,6,20,162,2,1,2
17166,47,1,1,10,7,39,673,2,1,3
17189,47,1,2,10,3,12,190,2,1,1
17190,33,2,2,10,9,7,24,1,1,4
17195,31,2,1,10,2,30,5846,1,1,1
17196,28,1,1,10,2,35,905,2,1,1
17205,57,2,1,10,2,37,692,2,1,1
17206,58,1,1,10,2,37,510,1,1,4
17208,26,1,1,10,9,38,635,1,1,6
17209,62,2,2,10,4,20,365,2,1,4
17228,38,1,1,10,2,38,745,2,1,1
17229,30,1,1,10,2,45,1615,2,1,1
17230,41,2,2,10,9,25,265,2,1,4
17241,38,1,1,10,3,37,1090,2,1,2
17242,48,2,2,10,1,28,242,2,1,1
17243,49,1,1,10,1,45,242,1,1,1
17244,21,1,2,10,9,18,242,1,1,3
17265,34,2,1,10,2,40,485,2,6,5
17272,26,2,2,10,3,24,240,2,8,1
17273,31,1,1,10,2,37,692,2,8,1
17285,56,2,1,10,2,41,808,2,1,3
17287,66,2,2,10,3,19,277,2,1,1
17303,49,1,2,10,8,20,337,2,6,1
17304,51,2,1,10,9,40,412,2,6,1
17307,64,2,1,10,6,33,311,1,1,2
17308,66,1,2,10,8,16,173,2,1,4
17309,66,2,2,10,2,18,404,2,1,1
17310,51,2,1,10,7,39,485,2,1,4
17311,47,1,1,10,8,40,825,2,1,4
17312,22,2,1,10,7,38,471,2,1,3
17329,52,1,1,10,1,45,1923,2,1,1
17336,54,1,1,10,2,35,1038,2,1,1
17354,35,2,2,10,4,28,495,2,1,3
17357,51,1,1,10,1,44,442,2,1,5
17376,59,2,1,10,4,32,596,2,1,1
17393,22,2,2,10,3,3,42,1,1,3
17394,22,2,1,10,5,44,411,2,1,1
17395,32,2,2,10,1,20,300,2,1,1
17396,27,2,1,10,4,38,769,2,1,1
17397,39,1,1,10,2,37,885,2,1,1
17407,38,2,1,10,4,38,712,1,1,3
17408,40,1,1,10,6,38,673,1,1,4
17432,24,1,1,10,3,38,538,2,1,1
17433,25,2,1,10,3,40,596,2,1,4
17434,31,2,1,10,2,38,1058,2,6,1
17440,45,1,1,10,2,38,1150,2,1,1
17441,36,2,1,10,3,38,692,2,1,3
17450,46,2,2,10,6,15,62,1,1,3
17453,59,2,1,10,2,40,673,2,1,1
17454,23,1,1,10,3,45,962,2,1,1
17473,56,2,2,10,7,25,300,2,1,4
17509,62,2,2,10,3,25,265,2,1,3
17518,62,1,1,10,6,38,596,2,1,1
17522,34,1,1,10,8,38,450,2,1,1
17523,44,1,1,10,1,38,1292,2,1,1
17524,46,2,2,10,1,30,846,2,1,1
17527,41,2,1,10,7,41,475,2,6,1
17529,34,1,1,10,1,44,1411,2,1,1
17530,35,2,1,10,1,44,1635,2,1,1
17552,61,1,1,10,5,40,519,1,1,6
17560,63,2,2,10,9,4,33,2,1,3
17570,62,2,2,10,4,25,346,1,1,4
17571,54,1,1,10,9,38,481,2,1,4
17574,44,2,2,10,2,14,188,1,1,2
17576,41,2,2,10,4,22,342,2,1,1
17586,56,2,1,10,3,38,808,2,1,1
17589,59,1,1,10,2,37,442,2,1,3
17609,53,1,1,10,1,45,1500,2,1,1
17610,52,2,2,10,4,16,203,2,1,2
17611,19,2,2,10,9,18,138,2,1,3
17612,57,1,1,10,2,35,1538,2,1,1
17613,57,2,2,10,4,8,240,2,1,1
17633,37,2,1,10,2,43,1250,2,2,1
17637,47,1,1,10,2,45,529,1,1,1
17638,54,2,2,10,3,15,115,1,1,1
17639,37,2,2,10,1,12,24,2,1,1
17643,49,1,1,10,2,40,1396,2,1,1
17646,18,2,2,10,6,2,58,2,1,4
17647,27,2,1,10,3,40,558,2,6,1
17656,36,2,1,10,4,38,577,2,1,3
17657,61,1,1,10,3,50,2500,2,1,5
17674,54,2,2,10,4,15,462,1,1,1
17675,55,1,1,10,3,40,20000,2,1,4
17676,66,1,1,10,2,45,769,2,1,1
17692,32,1,1,10,2,38,712,2,1,1
17694,79,1,2,10,2,2,30,1,1,1
17701,53,2,1,10,3,32,369,1,1,1
17703,39,2,1,10,2,41,721,1,1,1
17715,33,2,2,10,3,18,308,1,1,1
17716,37,1,1,10,1,38,1154,1,1,1
17718,60,2,1,10,1,42,1385,2,1,1
17743,62,2,2,10,9,20,231,2,1,3
17764,38,1,1,10,2,38,1106,2,1,1
17765,44,2,2,10,7,18,231,2,1,4
17769,29,2,2,10,3,22,346,2,1,2
17770,32,1,1,10,9,37,615,1,1,2
17773,54,1,1,10,2,35,1154,2,1,3
17774,57,1,1,10,5,40,865,2,1,2
17794,25,2,1,10,3,47,423,2,1,1
17811,63,1,1,10,2,40,1058,2,1,1
17813,22,2,1,10,3,38,462,2,1,1
17818,51,1,1,10,2,28,588,2,1,1
17822,34,2,1,10,9,40,388,2,7,1
17826,56,1,1,10,2,35,1192,2,1,1
17833,42,2,1,10,2,38,739,1,1,1
